"ttwa.name","region","big_region"
"Liskeard","South West","South"
"Liverpool","North West","North"
"London","London","London"
"Lowestoft","East of England","East"
"Ludlow","West Midlands","Midlands"
"Luton","East of England","East"
"Malton","Yorkshire and The Humber","North"
"Manchester","North West","North"
"Mansfield","East Midlands","Midlands"
"Margate and Ramsgate","South East","South"
"Medway","South East","South"
"Milton Keynes","South East","South"
"Newbury","South East","South"
"Newcastle","North East","North"
"Northallerton","Yorkshire and The Humber","North"
"Northampton","East Midlands","Midlands"
"Norwich","East of England","East"
"Nottingham","East Midlands","Midlands"
"Oxford","South East","South"
"Penrith","North West","North"
"Penzance","South West","South"
"Plymouth","South West","South"
"Portsmouth","South East","South"
"Preston","North West","North"
"Reading","South East","South"
"Redruth and Truro","South West","South"
"Salisbury","South West","South"
"Scarborough","Yorkshire and The Humber","North"
"Scunthorpe","Yorkshire and The Humber","North"
"Sheffield","Yorkshire and The Humber","North"
"Shrewsbury","West Midlands","Midlands"
"Sidmouth","South West","South"
"Skegness and Louth","East Midlands","Midlands"
"Skipton","Yorkshire and The Humber","North"
"Slough and Heathrow","London","London"
"Southampton","South East","South"
"Southend","East of England","East"
"Spalding","East Midlands","Midlands"
"St Austell and Newquay","South West","South"
"Stafford","West Midlands","Midlands"
"Stevenage and Welwyn Garden City","East of England","East"
"Stoke-on-Trent","West Midlands","Midlands"
"Street and Wells","South West","South"
"Sunderland","North East","North"
"Swindon","South West","South"
"Taunton","South West","South"
"Telford","West Midlands","Midlands"
"Torquay and Paignton","South West","South"
"Trowbridge","South West","South"
"Tunbridge Wells","South East","South"
"Wadebridge","South West","South"
"Wakefield and Castleford","Yorkshire and The Humber","North"
"Warrington and Wigan","North West","North"
"Weston-super-Mare","South West","South"
"Whitehaven","North West","North"
"Wisbech","East of England","East"
"Wolverhampton and Walsall","West Midlands","Midlands"
"Worcester and Kidderminster","West Midlands","Midlands"
"Workington","North West","North"
"Worksop and Retford","East Midlands","Midlands"
"Worthing","South East","South"
"Yeovil","South West","South"
"York","Yorkshire and The Humber","North"
"Berwick","North East","North"
"Carlisle","North West","North"
"Chester","North West","North"
"Cinderford and Ross-on-Wye","South West","South"
"Newport","Wales","Wales"
"Oswestry","West Midlands","Midlands"
"Ballymena","Northern Ireland","Northern Ireland"
"Belfast","Northern Ireland","Northern Ireland"
"Coleraine","Northern Ireland","Northern Ireland"
"Cookstown and Magherafelt","Northern Ireland","Northern Ireland"
"Craigavon","Northern Ireland","Northern Ireland"
"Derry","Northern Ireland","Northern Ireland"
"Dungannon","Northern Ireland","Northern Ireland"
"Enniskillen","Northern Ireland","Northern Ireland"
"Newry and Banbridge","Northern Ireland","Northern Ireland"
"Omagh and Strabane","Northern Ireland","Northern Ireland"
"Campbeltown","Scotland","Scotland"
"Eilean Siar","Scotland","Scotland"
"Fraserburgh","Scotland","Scotland"
"Greenock","Scotland","Scotland"
"Lochgilphead","Scotland","Scotland"
"Mull and Islay","Scotland","Scotland"
"Orkney Islands","Scotland","Scotland"
"Shetland Islands","Scotland","Scotland"
"Aberdeen","Scotland","Scotland"
"Alness and Invergordon","Scotland","Scotland"
"Arbroath and Montrose","Scotland","Scotland"
"Aviemore and Grantown-on-Spey","Scotland","Scotland"
"Ayr","Scotland","Scotland"
"Broadford and Kyle of Lochalsh","Scotland","Scotland"
"Dalbeattie and Castle Douglas","Scotland","Scotland"
"Dumbarton and Helensburgh","Scotland","Scotland"
"Dumfries","Scotland","Scotland"
"Dundee","Scotland","Scotland"
"Dunfermline and Kirkcaldy","Scotland","Scotland"
"Dunoon and Rothesay","Scotland","Scotland"
"Edinburgh","Scotland","Scotland"
"Elgin","Scotland","Scotland"
"Falkirk and Stirling","Scotland","Scotland"
"Fort William","Scotland","Scotland"
"Galashiels and Peebles","Scotland","Scotland"
"Girvan","Scotland","Scotland"
"Glasgow","Scotland","Scotland"
"Golspie and Brora","Scotland","Scotland"
"Hawick and Kelso","Scotland","Scotland"
"Inverness","Scotland","Scotland"
"Kilmarnock and Irvine","Scotland","Scotland"
"Livingston","Scotland","Scotland"
"Motherwell and Airdrie","Scotland","Scotland"
"Newton Stewart","Scotland","Scotland"
"Oban","Scotland","Scotland"
"Perth","Scotland","Scotland"
"Peterhead","Scotland","Scotland"
"Pitlochry and Aberfeldy","Scotland","Scotland"
"Portree","Scotland","Scotland"
"St Andrews and Cupar","Scotland","Scotland"
"Stranraer","Scotland","Scotland"
"Thurso","Scotland","Scotland"
"Turriff and Banff","Scotland","Scotland"
"Ullapool","Scotland","Scotland"
"Wick","Scotland","Scotland"
"Bridgend","Wales","Wales"
"Llandrindod Wells and Builth Wells","Wales","Wales"
"Newtown and Welshpool","Wales","Wales"
"Pembroke and Tenby","Wales","Wales"
"Aberystwyth","Wales","Wales"
"Bangor and Holyhead","Wales","Wales"
"Brecon","Wales","Wales"
"Cardiff","Wales","Wales"
"Cardigan","Wales","Wales"
"Colwyn Bay","Wales","Wales"
"Haverfordwest and Milford Haven","Wales","Wales"
"Llanelli","Wales","Wales"
"Merthyr Tydfil","Wales","Wales"
"Pwllheli and Porthmadog","Wales","Wales"
"Rhyl","Wales","Wales"
"Swansea","Wales","Wales"
"Tywyn and Dolgellau","Wales","Wales"
"Wrexham","Wales","Wales"
