,ttwa,laua,value
0,E30000004,E08000018,0.08737767126023567
1,E30000004,E08000016,0.8252446574795287
2,E30000004,E08000018,0.08737767126023567
3,E30000018,E08000034,0.03349420849420849
4,E30000018,E08000034,0.03349420849420849
5,E30000018,E08000032,0.4497586872586873
6,E30000018,E08000034,0.03349420849420849
7,E30000018,E08000032,0.4497586872586873
8,E30000029,E08000033,1.0
9,E30000039,E07000163,1.0
10,E30000046,E07000052,0.1901443096097081
11,E30000046,E07000052,0.1901443096097081
12,E30000046,E07000052,0.1901443096097081
13,E30000046,E07000053,0.1849786815349295
14,E30000046,E07000051,0.027222040013119054
15,E30000046,E07000052,0.1901443096097081
16,E30000046,E07000051,0.027222040013119054
17,E30000051,E06000052,0.1111111111111111
18,E30000051,E06000052,0.1111111111111111
19,E30000051,E06000052,0.1111111111111111
20,E30000051,E06000052,0.1111111111111111
21,E30000051,E06000052,0.1111111111111111
22,E30000051,E06000052,0.1111111111111111
23,E30000051,E06000052,0.1111111111111111
24,E30000051,E06000052,0.1111111111111111
25,E30000051,E06000052,0.1111111111111111
26,E30000054,E07000141,0.5
27,E30000054,E07000141,0.5
28,E30000061,E07000064,0.3355307155823063
29,E30000061,E07000065,0.00993598929970383
30,E30000061,E07000062,0.28919461163657206
31,E30000061,E07000065,0.00993598929970383
32,E30000061,E07000064,0.3355307155823063
33,E30000061,E07000065,0.00993598929970383
34,E30000061,E07000065,0.00993598929970383
35,E30000064,E07000030,0.014018691588785047
36,E30000064,E06000057,0.23948598130841123
37,E30000064,E07000030,0.014018691588785047
38,E30000064,E07000030,0.014018691588785047
39,E30000064,E06000057,0.23948598130841123
40,E30000064,E06000057,0.23948598130841123
41,E30000064,E06000057,0.23948598130841123
42,E30000070,E06000046,1.0
43,E30000076,E07000121,1.0
44,E30000093,E06000002,0.3105247897941432
45,E30000093,E06000003,0.2880255146419252
46,E30000093,E06000004,0.40144969556393156
47,E30000095,E07000191,0.3333333333333333
48,E30000095,E07000191,0.3333333333333333
49,E30000095,E07000191,0.3333333333333333
50,E30000106,E07000030,0.3333333333333333
51,E30000106,E07000030,0.3333333333333333
52,E30000106,E07000030,0.3333333333333333
